name,address,city,zip,lat,lon,id,geog
Clean Energy - San Francisco Airport,790 N McDonnell Rd,San Francisco,94128,37.63281472,-122.398352,25483,0101000020E6100000F51263997E995EC0E8699F1200D14240
Trillium,4915 W Industrial Blvd,Midland,79703,31.962765,-102.134214,25598,0101000020E6100000952A51F6968859C0C3BB5CC477F63F40
SoCalGas - Azusa Base,950 N Todd Ave,Azusa,91702,34.138664,-117.923766,25600,0101000020E610000008CA6DFB1E7B5DC0F790F0BDBF114140
Trillium - City of Placentia Corporate Yard,2999 E La Jolla St,Placentia,92806,33.860704,-117.865217,25601,0101000020E61000005EBC1FB75F775DC0A8C4758C2BEE4040
PSNC Energy,800 Gaston Rd,Gastonia,28056,35.251751,-81.094667,25673,0101000020E6100000AB402D060F4654C01EDE736039A04140
SoCalGas - Lancaster Base,44416 N Division St,Lancaster,93535,34.689589,-118.130371,25763,0101000020E610000032569BFF57885DC03657CD7344584140
Oklahoma Natural Gas - Anadarko Service Center,1700 E Central,Anadarko,73005,35.072194,-98.214673,25880,0101000020E61000006495D233BD8D58C0D57B2AA73D894140
Clean Energy - City of Burbank,810 N Lake St,Burbank,91502,34.182925,-118.319347,26305,0101000020E6100000D844662E70945DC0764F1E166A174140
Clean Energy - ARCO Cathedral City,36001 Date Palm Dr,Cathedral City,92234,33.786385,-116.458765,26306,0101000020E61000002AE3DF675C1D5DC051888043A8E44040
Clean Energy - Desert Hot Springs Mission Springs Water District,14501 Park Ln,Desert Hot Springs,92240,33.9432378,-116.4977441,26307,0101000020E6100000BAD1110ADB1F5DC0EDAC2704BCF84040
Clean Energy - 21st Century Oil - Garden Grove,12931 Garden Grove Blvd,Garden Grove,92843,33.775099,-117.906743,26308,0101000020E610000020B8CA13087A5DC0C614AC7136E34040
PG&E - Marysville Service Center,18 7th St,Marysville,95901,39.143012,-121.583657,26310,0101000020E610000037C5E3A25A655EC0C0779B374E924340
Clean Energy - Pasadena - Southern California Gas Co Base,3528 E Foothill Blvd,Pasadena,91107,34.149215,-118.077389,26312,0101000020E61000007D04FEF0F3845DC04C89247A19134140
Clean Energy - Yucca Valley - Park n Ride Transit Facility,7485 Kickapoo Trail,Yucca Valley,92284,34.118101,-116.45646,26314,0101000020E6100000A9FB00A4361D5DC0FD4FFEEE1D0F4140
Clean Energy - Oakland International Airport,7855 Earhart Rd,Oakland,94621,37.73137,-122.212097,26554,0101000020E61000001AA54BFF928D5EC044A33B889DDD4240
Clean Energy - Dallas Service Center,1616 Baylor St,Dallas,75226,32.780992,-96.775202,26654,0101000020E6100000CD72D9E89C3158C00438BD8BF7634040
Clean Energy - Dallas - Love Field Airport,8010 Denton Dr,Dallas,75235,32.83931674,-96.85319535,26655,0101000020E61000005A56ABC09A3658C086A41EBB6E6B4040
